CPU: 12 | Memory: 4477997056 | Platform: win32
CPU: 12 | Memory: 4511862784 | Platform: win32
CPU: 12 | Memory: 4513677312 | Platform: win32
CPU: 12 | Memory: 4464177152 | Platform: win32
CPU: 12 | Memory: 4459835392 | Platform: win32
CPU: 12 | Memory: 4478300160 | Platform: win32
CPU: 12 | Memory: 4502290432 | Platform: win32
CPU: 12 | Memory: 4485697536 | Platform: win32
CPU: 12 | Memory: 4474257408 | Platform: win32
CPU: 12 | Memory: 4495175680 | Platform: win32
CPU: 12 | Memory: 4494360576 | Platform: win32
CPU: 12 | Memory: 4480274432 | Platform: win32
CPU: 12 | Memory: 4481101824 | Platform: win32
CPU: 12 | Memory: 4501606400 | Platform: win32
CPU: 12 | Memory: 4525006848 | Platform: win32
CPU: 12 | Memory: 4523114496 | Platform: win32
CPU: 12 | Memory: 4523999232 | Platform: win32
CPU: 12 | Memory: 4523556864 | Platform: win32
CPU: 12 | Memory: 4557529088 | Platform: win32
CPU: 12 | Memory: 4575035392 | Platform: win32
CPU: 12 | Memory: 4524384256 | Platform: win32
CPU: 12 | Memory: 4526067712 | Platform: win32
CPU: 12 | Memory: 4518334464 | Platform: win32
CPU: 12 | Memory: 4536254464 | Platform: win32
CPU: 12 | Memory: 4486836224 | Platform: win32
CPU: 12 | Memory: 4448706560 | Platform: win32
CPU: 12 | Memory: 4457181184 | Platform: win32
CPU: 12 | Memory: 4464939008 | Platform: win32
CPU: 12 | Memory: 4495110144 | Platform: win32
CPU: 12 | Memory: 4480577536 | Platform: win32
CPU: 12 | Memory: 4490575872 | Platform: win32
CPU: 12 | Memory: 4487401472 | Platform: win32
CPU: 12 | Memory: 4491096064 | Platform: win32
CPU: 12 | Memory: 4491370496 | Platform: win32
CPU: 12 | Memory: 4510310400 | Platform: win32
CPU: 12 | Memory: 4546920448 | Platform: win32
CPU: 12 | Memory: 4562644992 | Platform: win32
CPU: 12 | Memory: 4574998528 | Platform: win32
CPU: 12 | Memory: 4586819584 | Platform: win32
CPU: 12 | Memory: 4567162880 | Platform: win32
CPU: 12 | Memory: 4779282432 | Platform: win32
CPU: 12 | Memory: 4757159936 | Platform: win32
CPU: 12 | Memory: 4748197888 | Platform: win32
CPU: 12 | Memory: 4749021184 | Platform: win32
CPU: 12 | Memory: 4750344192 | Platform: win32
CPU: 12 | Memory: 4767350784 | Platform: win32
CPU: 12 | Memory: 4757065728 | Platform: win32
CPU: 12 | Memory: 4709421056 | Platform: win32
CPU: 12 | Memory: 4717084672 | Platform: win32
CPU: 12 | Memory: 4708184064 | Platform: win32
CPU: 12 | Memory: 4742295552 | Platform: win32
CPU: 12 | Memory: 4775997440 | Platform: win32
CPU: 12 | Memory: 4780736512 | Platform: win32
CPU: 12 | Memory: 4746088448 | Platform: win32
CPU: 12 | Memory: 4701847552 | Platform: win32
CPU: 12 | Memory: 4710551552 | Platform: win32
CPU: 12 | Memory: 4726108160 | Platform: win32
CPU: 12 | Memory: 4732002304 | Platform: win32
CPU: 12 | Memory: 4761714688 | Platform: win32
CPU: 12 | Memory: 4613013504 | Platform: win32
CPU: 12 | Memory: 4627107840 | Platform: win32
CPU: 12 | Memory: 4635078656 | Platform: win32
CPU: 12 | Memory: 4669349888 | Platform: win32
CPU: 12 | Memory: 4705095680 | Platform: win32
CPU: 12 | Memory: 4657434624 | Platform: win32
CPU: 12 | Memory: 4684378112 | Platform: win32
CPU: 12 | Memory: 4698034176 | Platform: win32
CPU: 12 | Memory: 4751912960 | Platform: win32
CPU: 12 | Memory: 4758884352 | Platform: win32
CPU: 12 | Memory: 4720300032 | Platform: win32
CPU: 12 | Memory: 4720791552 | Platform: win32
CPU: 12 | Memory: 4741943296 | Platform: win32
CPU: 12 | Memory: 4744601600 | Platform: win32
CPU: 12 | Memory: 4727394304 | Platform: win32
CPU: 12 | Memory: 4732469248 | Platform: win32
CPU: 12 | Memory: 4749324288 | Platform: win32
CPU: 12 | Memory: 4681981952 | Platform: win32
CPU: 12 | Memory: 4763291648 | Platform: win32
CPU: 12 | Memory: 4762398720 | Platform: win32
CPU: 12 | Memory: 4763070464 | Platform: win32
CPU: 12 | Memory: 4768182272 | Platform: win32
CPU: 12 | Memory: 4767502336 | Platform: win32
CPU: 12 | Memory: 4754046976 | Platform: win32
CPU: 12 | Memory: 4779991040 | Platform: win32
CPU: 12 | Memory: 4749885440 | Platform: win32
CPU: 12 | Memory: 4699701248 | Platform: win32
CPU: 12 | Memory: 4684161024 | Platform: win32
CPU: 12 | Memory: 4695908352 | Platform: win32
CPU: 12 | Memory: 4709834752 | Platform: win32
CPU: 12 | Memory: 4709130240 | Platform: win32
CPU: 12 | Memory: 4700741632 | Platform: win32
CPU: 12 | Memory: 4695171072 | Platform: win32
CPU: 12 | Memory: 4702883840 | Platform: win32
CPU: 12 | Memory: 4725190656 | Platform: win32
CPU: 12 | Memory: 4714680320 | Platform: win32
CPU: 12 | Memory: 4745097216 | Platform: win32
CPU: 12 | Memory: 4764614656 | Platform: win32
CPU: 12 | Memory: 4763512832 | Platform: win32
CPU: 12 | Memory: 4769918976 | Platform: win32
CPU: 12 | Memory: 4757569536 | Platform: win32
CPU: 12 | Memory: 4811649024 | Platform: win32
CPU: 12 | Memory: 4749012992 | Platform: win32
CPU: 12 | Memory: 4752113664 | Platform: win32
CPU: 12 | Memory: 4755353600 | Platform: win32
CPU: 12 | Memory: 4790648832 | Platform: win32
CPU: 12 | Memory: 4776263680 | Platform: win32
CPU: 12 | Memory: 4748726272 | Platform: win32
CPU: 12 | Memory: 4770635776 | Platform: win32
CPU: 12 | Memory: 4787150848 | Platform: win32
CPU: 12 | Memory: 4818681856 | Platform: win32
CPU: 12 | Memory: 4845031424 | Platform: win32
CPU: 12 | Memory: 4860301312 | Platform: win32
CPU: 12 | Memory: 4802842624 | Platform: win32
CPU: 12 | Memory: 4772986880 | Platform: win32
CPU: 12 | Memory: 4769431552 | Platform: win32
CPU: 12 | Memory: 4771450880 | Platform: win32
CPU: 12 | Memory: 4754395136 | Platform: win32
CPU: 12 | Memory: 4764434432 | Platform: win32
CPU: 12 | Memory: 4770586624 | Platform: win32
CPU: 12 | Memory: 4833079296 | Platform: win32
CPU: 12 | Memory: 4830892032 | Platform: win32
CPU: 12 | Memory: 4845817856 | Platform: win32
CPU: 12 | Memory: 4844838912 | Platform: win32
CPU: 12 | Memory: 4799201280 | Platform: win32
CPU: 12 | Memory: 4799455232 | Platform: win32
CPU: 12 | Memory: 4767842304 | Platform: win32
CPU: 12 | Memory: 4764631040 | Platform: win32
CPU: 12 | Memory: 4761661440 | Platform: win32
CPU: 12 | Memory: 4696195072 | Platform: win32
CPU: 12 | Memory: 4638863360 | Platform: win32
CPU: 12 | Memory: 4392030208 | Platform: win32
CPU: 12 | Memory: 4423110656 | Platform: win32
CPU: 12 | Memory: 4430295040 | Platform: win32
CPU: 12 | Memory: 4438335488 | Platform: win32
CPU: 12 | Memory: 4483403776 | Platform: win32
CPU: 12 | Memory: 4429156352 | Platform: win32
CPU: 12 | Memory: 4432666624 | Platform: win32
CPU: 12 | Memory: 4419112960 | Platform: win32
CPU: 12 | Memory: 4543619072 | Platform: win32
CPU: 12 | Memory: 4541108224 | Platform: win32
CPU: 12 | Memory: 4539121664 | Platform: win32
CPU: 12 | Memory: 4522921984 | Platform: win32
CPU: 12 | Memory: 4523372544 | Platform: win32
CPU: 12 | Memory: 4645462016 | Platform: win32
CPU: 12 | Memory: 4676993024 | Platform: win32
CPU: 12 | Memory: 4670930944 | Platform: win32
CPU: 12 | Memory: 4663058432 | Platform: win32
CPU: 12 | Memory: 4660211712 | Platform: win32
CPU: 12 | Memory: 4639870976 | Platform: win32
CPU: 12 | Memory: 4609642496 | Platform: win32
CPU: 12 | Memory: 4610088960 | Platform: win32
CPU: 12 | Memory: 4627001344 | Platform: win32
CPU: 12 | Memory: 4626206720 | Platform: win32
CPU: 12 | Memory: 4628226048 | Platform: win32
CPU: 12 | Memory: 4617236480 | Platform: win32
CPU: 12 | Memory: 4634963968 | Platform: win32
CPU: 12 | Memory: 4639989760 | Platform: win32
CPU: 12 | Memory: 4664737792 | Platform: win32
CPU: 12 | Memory: 4688470016 | Platform: win32
CPU: 12 | Memory: 4679061504 | Platform: win32
CPU: 12 | Memory: 4864786432 | Platform: win32
CPU: 12 | Memory: 4827262976 | Platform: win32
CPU: 12 | Memory: 4793704448 | Platform: win32
CPU: 12 | Memory: 4796510208 | Platform: win32
CPU: 12 | Memory: 4796125184 | Platform: win32
CPU: 12 | Memory: 4791312384 | Platform: win32
CPU: 12 | Memory: 4769054720 | Platform: win32
